Phân loại	Mã dịch vụ (Service ID)	Tên dịch vụ	Loại thú cưng	Phân khúc cân nặng	Giá niêm yết (VNĐ)	Giá ưu đãi thành viên (VNĐ)	Thời gian thực hiện (Duration)	Đánh giá (Rating)	Lượt đánh giá (Review Count)	Mô tả chi tiết (Description)	Lợi ích chính (Key Benefits)	Quy trình thực hiện (Checklist)	Tiện ích / Cơ sở vật chất (Amenities)	Cấp độ nhân viên thực hiện (Groomer Level)	Hình ảnh	Trạng thái kinh doanh
Spa & Grooming – Chăm sóc cơ bản	SPA01	Gói Tắm Vệ Sinh Cơ Bản	Chó / Mèo	Siêu nhỏ (<5kg)	120.000	Bạc: 114.000 (-5%); Vàng: 108.000 (-10%); Kim cương: 102.000 (-15%)	60 phút	4.8	154	"Liệu trình tắm làm sạch và khử mùi hôi cơ bản dành cho các bé chó mèo có sức khỏe da lông bình thường, giúp duy trì vệ sinh sạch sẽ định kỳ hàng tuần."	"Làm sạch triệt để bụi bẩn, khử mùi hôi khó chịu trên lông da; Cắt tỉa móng ngăn chặn móng mọc ngược đâm vào thịt; Vệ sinh tai phòng ngừa các bệnh viêm tai giữa và ký sinh trùng tai."	"Tiếp nhận thú cưng và kiểm tra da lông sơ bộ; Cắt móng và mài mịn các góc sắc nhọn; Vệ sinh tai bằng dung dịch chuyên dụng; Chải lông loại bỏ lông rụng sơ bộ; Tắm lần 1 bằng dầu tắm loại bỏ bụi bẩn; Tắm lần 2 bằng dầu tắm dưỡng da lông; Vắt tuyến hôi khử mùi; Sấy khô lông hoàn toàn; Chải lông tạo kiểu cơ bản; Xịt nước hoa dưỡng lông thiên nhiên; Bàn giao thú cưng và Care-Log"	Phòng tắm chuyên dụng điều hòa ấm áp, bàn grooming chuyên nghiệp, máy sấy chuyên dụng lực thổi mạnh tiếng ồn thấp, dầu tắm Hypoallergenic dịu nhẹ	Junior Groomer	assets/images/services/spa/process/process_tam_tam.jpg,assets/images/services/spa/process/process_say_say_long.jpg,assets/images/services/spa/process/process_chai_long_chai_long.jpg	Đang phục vụ
Spa & Grooming – Chăm sóc cơ bản	SPA02	Gói Tắm Dưỡng Premium	Chó / Mèo	Nhỏ (5–10kg)	220.000	Bạc: 209.000 (-5%); Vàng: 198.000 (-10%); Kim cương: 187.000 (-15%)	90 phút	4.9	92	"Liệu trình tắm dưỡng chuyên sâu kết hợp massage thư giãn, phục hồi lông hư tổn, giảm rối lông và nuôi dưỡng làn da nhạy cảm bằng các dòng mỹ phẩm cao cấp."	"Phục hồi độ ẩm cho da lông khô xơ, hạn chế tối đa rụng lông và xơ rối; Massage thư giãn kích thích lưu thông máu dưới da, giảm stress hiệu quả cho bé."	"Tiếp nhận thú cưng và phân tích tình trạng da lông; Chải gỡ rối lông xơ; Cắt và mài móng chân; Vệ sinh tai và nhổ lông tai dư thừa; Tắm lần 1 làm sạch sâu; Tắm lần 2 bằng dầu xả dưỡng lông chuyên sâu; Massage thư giãn toàn thân trong 10 phút; Làm sạch tuyến hôi; Sấy tạo phồng lông chuyên nghiệp; Chải lông bằng lược chuyên dụng; Xịt tinh dầu dưỡng lông bóng mượt; Bàn giao thú cưng và Care-Log"	Bồn tắm sục sủi khí Ozone kháng khuẩn da lông, dầu tắm xả cao cấp Plum Silky nhập khẩu từ Mỹ, tinh chất phục hồi lông hư tổn Collagen, máy massage chuyên dụng	Senior Groomer	assets/images/services/spa/process/process_tam_tam_cho5.jpg,assets/images/services/spa/process/process_massage_massage.jpg,assets/images/services/spa/process/process_nghi_ngoi_nghi_ngoi.jpg	Đang phục vụ
Spa & Grooming – Chăm sóc cơ bản	SPA03	Gói Spa Khử Mùi Chuyên Sâu	Chó	Vừa (10–20kg)	320.000	Bạc: 304.000 (-5%); Vàng: 288.000 (-10%); Kim cương: 272.000 (-15%)	120 phút	4.7	65	"Giải pháp spa đặc trị mùi hôi cơ thể cứng đầu dành cho các giống chó năng động, vận động ngoài trời nhiều hoặc có tuyến bã nhờn hoạt động mạnh."	"Khử triệt để mùi hôi da lông lên đến 10 ngày; Loại bỏ triệt để chất nhờn tích tụ dưới gốc chân lông; Phòng chống các loại nấm da, ký sinh trùng gây mùi."	"Tiếp nhận thú cưng và kiểm tra các vùng da nhạy cảm; Cắt móng chân và mài mịn; Vệ sinh sạch sâu tai trong và tai ngoài; Tắm khử dầu lần 1 loại bỏ bã nhờn; Vắt sạch hoàn toàn tuyến hôi hậu môn; Tắm khử mùi lần 2 bằng dầu tắm chứa hoạt chất sinh học tự nhiên; Thoa dầu dưỡng xả lông phục hồi; Sấy khô bằng máy thổi công suất lớn; Chải lông loại bỏ lông chết; Xịt khử mùi hôi miệng; Xịt dưỡng thơm hương thảo mộc; Bàn giao thú cưng và Care-Log"	Bể tắm inox kích thước lớn cho chó vừa, máy vắt tuyến hôi y tế an toàn, dầu tắm khử mùi chuyên dụng Deodorizing Shampoo, xịt thơm kháng khuẩn thiên nhiên	Senior Groomer	assets/images/services/spa/process/process_tam_tam_cho.jpg,assets/images/services/spa/process/process_lau_kho_lau_kho.jpg	Đang phục vụ
Spa & Grooming – Chăm sóc nhanh	SPA04	Express Care – Vệ Sinh Nhanh	Chó / Mèo	Tất cả	80.000	Bạc: 76.000 (-5%); Vàng: 72.000 (-10%); Kim cương: 68.000 (-15%)	30 phút	4.6	120	"Dịch vụ chăm sóc nhanh tại quầy giúp làm sạch bụi bẩn bên ngoài và khử mùi khẩn cấp cho chó mèo trước khi về nhà hoặc khi chủ nuôi có lịch trình bận rộn."	"Làm sạch tức thì bàn chân, tai và lông; Khử mùi hôi nhanh chóng chỉ trong 30 phút mà không cần tắm nước lạnh gầy cảm lạnh; Tiết kiệm thời gian tối đa."	"Tiếp nhận thú cưng tại quầy; Lau sạch bụi bẩn 4 bàn chân bằng khăn ướt chuyên dụng; Vệ sinh vành tai ngoài bằng dung dịch sát khuẩn nhẹ; Xịt bọt khô khử mùi lên toàn thân; Massage nhẹ nhàng toàn thân; Chải lông sơ bộ gỡ rối bề mặt; Xịt nước hoa khô hương phấn hoa dịu nhẹ; Bàn giao thú cưng và Care-Log"	Góc chăm sóc nhanh tại sảnh tiếp đón tiện lợi, bọt tắm khô organic không gây kích ứng da, lược chải silicone lấy lông rụng nhanh	Junior Groomer	assets/images/services/spa/process/process_ve_sinh_chan_ve_sinh_chan.jpg,assets/images/services/spa/process/process_lau_kho_lau_kho1.jpg	Đang phục vụ
Spa & Grooming – Chăm sóc nhanh	SPA05	Cắt Móng & Vệ Sinh Tai	Chó / Mèo	Tất cả	60.000	Bạc: 57.000 (-5%); Vàng: 54.000 (-10%); Kim cương: 51.000 (-15%)	20 phút	4.8	189	"Chăm sóc cục bộ định kỳ hai tuần một lần giúp bảo vệ bàn chân và tai của thú cưng luôn trong tình trạng sạch sẽ, thoải mái nhất."	"Ngăn ngừa móng chân mọc quá dài gây đau đớn khó chịu khi di chuyển; Giữ tai luôn khô ráo sạch sẽ, tránh bệnh viêm tai và rận tai gây ngứa ngáy."	"Tiếp nhận thú cưng; Cắt ngắn móng chân bằng kìm chuyên dụng; Mài dũa mịn các góc móng sắc tránh cào xước; Nhỏ dung dịch vệ sinh tai chuyên dụng; Massage gốc tai trong 1 phút; Lau sạch chất bẩn và ráy tai bằng bông y tế tiệt trùng; Rắc bột nhổ lông tai (nếu cần); Nhổ lông tai thừa; Bàn giao thú cưng và Care-Log"	Kìm cắt móng lò xo trợ lực sắc bén có đèn LED soi tủy móng, dũa móng mài mịn, nước rửa tai cao cấp Epi-Otic chống viêm tai	Junior Groomer	assets/images/services/spa/process/process_cat_mong_cat_mong.jpg,assets/images/services/spa/process/process_ve_sinh_tai_ray_tai.jpg	Đang phục vụ
Spa & Grooming – Chăm sóc nhanh	SPA06	Tắm Khô Khử Mùi	Chó / Mèo	Siêu nhỏ / Nhỏ	90.000	Bạc: 85.500 (-5%); Vàng: 81.000 (-10%); Kim cương: 76.500 (-15%)	35 phút	4.5	48	"Giải pháp làm sạch lông da bằng bọt tắm khô chuyên dụng không cần dùng nước, cực kỳ phù hợp cho các bé đang ốm, sau tiêm phòng hoặc sợ nước."	"Làm sạch nhẹ nhàng bụi bẩn và dầu nhờn bám trên lông; Khử mùi hiệu quả mà không cần làm ướt cơ thể; Tránh nguy cơ bị cảm lạnh cho pet yếu."	"Tiếp nhận thú cưng; Chải chải lông gỡ các búi rối; Xịt lượng bọt tắm khô vừa đủ lên toàn thân thú cưng (tránh vùng mắt, mũi); Massage đều khắp cơ thể trong 5-10 phút để bọt tự hòa tan vết bẩn; Dùng khăn bông khô lau sạch bọt và bụi bẩn bám theo; Sấy gió nhẹ tạo độ phồng lông; Chải lông mượt mà; Bàn giao thú cưng và Care-Log"	Bọt tắm khô thảo dược nhập khẩu Hàn Quốc lành tính, máy sấy thổi luồng gió mát ấm dịu nhẹ, khăn tắm microfiber siêu thấm hút	Junior Groomer	assets/images/services/spa/process/process_xit_khu_mui_-_xit_kho_xit_khu_mui.jpg,assets/images/services/spa/process/process_xit_khu_mui_-_xit_kho_vs-xit-07_2.jpg	Đang phục vụ
Spa & Grooming – Tạo kiểu	SPA07	Grooming Tạo Kiểu Cơ Bản	Chó	Nhỏ / Vừa	350.000	Bạc: 332.500 (-5%); Vàng: 315.000 (-10%); Kim cương: 297.500 (-15%)	150 phút	4.9	210	"Gói làm đẹp toàn diện bao gồm tắm vệ sinh kỹ lưỡng kết hợp cắt tỉa lông tạo kiểu cơ bản (như cắt tròn mặt Boo, tỉa gọn chân) theo tiêu chuẩn giống loài."	"Thay đổi diện mạo xinh xắn đáng yêu cho bé cưng; Giúp lông gọn gàng sạch sẽ, hạn chế bám bẩn thức ăn; Giúp chủ dễ dàng chăm sóc chải chuốt tại nhà."	"Tiếp nhận thú cưng và tư vấn kiểu cắt phù hợp; Cắt móng chân và dũa móng; Vệ sinh tai sạch sẽ; Tắm sạch sâu lần 1; Tắm dưỡng xả mềm lông lần 2; Sấy khô kết hợp đánh tơi lông; Chải lông gỡ rối triệt để; Cắt tỉa lông tạo kiểu body bằng tông đơ và kéo chuyên dụng; Cắt tỉa tạo hình mặt và tai xinh xắn; Vệ sinh tuyến hôi; Chụp ảnh hoàn thiện diện mạo mới; Bàn giao thú cưng và Care-Log"	Bàn cắt tỉa nâng hạ thủy lực chống rung lắc, bộ kéo cắt tỉa cao cấp Nhật Bản sắc bén, tông đơ Oster êm ái, máy ảnh chụp studio lấy hình lưu niệm	Senior Groomer	assets/images/services/spa/process/process_cat_long_cat_long.jpg,assets/images/services/spa/process/process_chai_long_chai_long1.jpg	Đang phục vụ
Spa & Grooming – Tạo kiểu	SPA08	Grooming Theo Yêu Cầu	Chó	Tất cả	450.000	Bạc: 427.500 (-5%); Vàng: 405.000 (-10%); Kim cương: 382.500 (-15%)	180 phút	4.9	74	"Dịch vụ tạo mẫu tóc cao cấp thiết kế kiểu dáng lông theo hình ảnh mẫu yêu cầu riêng của chủ nuôi hoặc tạo kiểu nghệ thuật phức tạp cho bé đi thi show."	"Diện mạo độc đáo, cá tính nổi bật theo ý muốn riêng của chủ nuôi; Tối ưu hóa vẻ đẹp đặc trưng của từng giống chó (Poodle, Pomeranian, Bichon Frise)."	"Tiếp nhận thú cưng và thảo luận chi tiết với chủ qua hình ảnh mẫu; Cắt tỉa móng và vệ sinh tai; Tắm dưỡng lông 2 bước bằng dầu tắm cao cấp giữ nếp lông; Sấy khô tạo phồng tối đa; Cắt tỉa tạo hình chi tiết toàn thân bằng kéo nghệ thuật thủ công; Tỉa mỏng đều lớp lông bao ngoài; Kiểm tra và hiệu chỉnh đường cắt dưới ánh sáng studio; Xịt gôm giữ nếp lông tự nhiên hương thơm sang trọng; Chụp ảnh trước/sau làm quà tặng cho khách; Bàn giao thú cưng và Care-Log"	Kéo nghệ thuật chuyên nghiệp đủ kích cỡ và độ cong, phòng grooming yên tĩnh riêng tư cách âm, dầu tắm xả tạo phồng giữ nếp cao cấp Chris Christensen	Master Groomer	assets/images/services/spa/process/process_cat_long_cao_long.jpg,assets/images/services/spa/process/process_chai_long_chai_long2.jpg	Đang phục vụ
Spa & Grooming – Tạo kiểu	SPA09	Cat Grooming Chuyên Biệt	Mèo	Tất cả	380.000	Bạc: 361.000 (-5%); Vàng: 342.000 (-10%); Kim cương: 323.000 (-15%)	120 phút	4.8	96	"Liệu trình chăm sóc và cắt tỉa làm đẹp dành riêng cho loài mèo nhạy cảm, dễ bị kích động, sử dụng các kỹ thuật xoa dịu đặc biệt không gây áp lực."	"Grooming sạch sẽ cho mèo mà không làm bé bị stress hay hoảng sợ; Hạn chế hiện tượng búi lông trong dạ dày do mèo tự liếm lông rụng quá nhiều."	"Tiếp nhận mèo và đánh giá mức độ căng thẳng ban đầu; Xịt tinh chất xoa dịu Feliway thư giãn; Chải gỡ rối lông xơ bằng lược chuyên dụng; Cắt móng chân mèo nhẹ nhàng; Vệ sinh tai dịu nhẹ; Tắm bằng nước ấm vừa phải với sữa tắm chuyên biệt cho mèo da nhạy cảm; Vắt tuyến hôi (nếu cần); Sấy khô bằng máy sấy chuyên dụng siêu êm tránh hoảng sợ; Cắt tỉa gọn gàng vùng bụng, hậu môn và bàn chân; Chải dưỡng mượt lông toàn thân; Bàn giao mèo và Care-Log"	Hệ thống máy sấy lồng chuyên dụng yên tĩnh ấm áp, tinh chất xoa dịu pheromone Feliway cao cấp, bàn tắm đệm cao su êm ái chống trơn trượt	Master Groomer	assets/images/services/spa/process/process_tam_tam_meo.jpg,assets/images/services/spa/process/process_cat_long_cat_long_meo.jpg,assets/images/services/spa/process/process_cat_mong_cat_mong_meo.jpg	Đang phục vụ
Spa & Grooming – Đặc trị	SPA10	Tắm Thuốc Trị Liệu Da Liễu	Chó / Mèo	Tất cả	280.000	Bạc: 266.000 (-5%); Vàng: 252.000 (-10%); Kim cương: 238.000 (-15%)	90 phút	4.7	53	"Dịch vụ tắm trị liệu viêm da, nấm, ghẻ, ký sinh trùng bằng các loại dầu tắm y khoa và lá thuốc thảo mộc đông y cô đặc, hỗ trợ hồi phục da tổn thương."	"Diệt trừ nấm, bào tử nấm và ký sinh trùng trên da; Làm dịu cơn ngứa ngáy, giảm mẩn đỏ và mùi hôi do viêm nhiễm; Kích thích hồi phục các mảng da tổn thương bong tróc."	"Tiếp nhận thú cưng và xác định vùng da bị tổn thương nấm; Vệ sinh tai mắt nhẹ nhàng; Xả nước ấm làm ướt lông; Thoa dầu tắm y tế trị nấm ghẻ lên da; Massage nhẹ nhàng toàn thân đặc biệt vùng da viêm trong 10-15 phút để ngấm thuốc; Xả sạch bằng nước ấm; Ngâm bồn thảo dược đông y làm dịu da; Sấy khô nhẹ hoàn toàn bằng luồng gió mát ấm; Bôi thuốc mỡ làm dịu da (nếu cần); Bàn giao thú cưng và Care-Log"	Bồn ngâm thảo mộc riêng biệt, dầu tắm y khoa đặc trị nấm ghẻ (như Dermaseb), nước lá trà xanh tắm tràm trà hữu cơ cô đặc	Senior Groomer	assets/images/services/spa/process/process_tam_tam_cho4.jpg,assets/images/services/spa/process/process_say_say_long2.jpg	Đang phục vụ
