Phân loại	Mã dịch vụ (Service ID): (Ví dụ: SPA01, HTL01)	Tên dịch vụ: (Ví dụ: Gói Tắm Vệ Sinh, Phòng Hotel VIP)	"Loại thú cưng: (Chó / Mèo) - Cực kỳ quan trọng để lọc.
Có loài khác không?"	Phân khúc cân nặng: (Siêu nhỏ <5kg, Nhỏ 5-10kg, Vừa 10-20kg, Lớn >20kg).	Giá niêm yết (Price): Số tiền khách phải trả.	Giá ưu đãi thành viên: (Số tiền sau khi giảm theo hạng tài khoản).	Thời gian thực hiện (Duration): Tính bằng phút (Ví dụ: 60p, 90p) - Để hệ thống tự động tính toán khung giờ trống cho nhân viên.	Mô tả chi tiết (Description): Viết ngắn gọn, tập trung vào lợi ích cho bé.	Quy trình thực hiện (Checklist): Các bước nhỏ (Ví dụ: Tắm 2 lần, sấy lông, cắt móng...) - Dùng để hiện lên trang chi tiết.	Trạng thái kinh doanh: (Đang phục vụ / Tạm ngưng).
Spa & Grooming – Chăm sóc cơ bản	SPA01	Gói Tắm Vệ Sinh Cơ Bản	Chó / Mèo	Siêu nhỏ (<5kg)	120.000 VNĐ	"Bạc: -5%
Vàng: -10%
Kim cương: -15%"	60 phút	Làm sạch cơ bản, khử mùi và chăm sóc vệ sinh định kỳ cho bé.	Tắm 2 lần → Sấy lông → Vệ sinh tai → Cắt móng → Chải lông → Xịt dưỡng thơm	Đang phục vụ
Spa & Grooming – Chăm sóc cơ bản	SPA02	Gói Tắm Dưỡng Premium	Chó / Mèo	Nhỏ (5–10kg)	220.000 VNĐ	"Bạc: -5%
Vàng: -10%
Kim cương: -15%"	90 phút	Dưỡng lông mềm mượt, giảm rối và hỗ trợ chăm sóc da nhạy cảm.	Kiểm tra da lông → Tắm dưỡng → Massage → Sấy tạo phồng → Chải lông → Khử mùi	Đang phục vụ
Spa & Grooming – Chăm sóc cơ bản	SPA03	Gói Spa Khử Mùi Chuyên Sâu	Chó	Vừa (10–20kg)	320.000 VNĐ	"Bạc: -5%
Vàng: -10%
Kim cương: -15%"	120 phút	Loại bỏ mùi hôi và làm sạch sâu cho bé vận động nhiều.	Tắm khử mùi → Làm sạch tuyến hôi → Vệ sinh chân → Sấy lông → Xịt dưỡng	Đang phục vụ
Spa & Grooming – Chăm sóc nhanh	SPA04	Express Care – Vệ Sinh Nhanh	Chó / Mèo	Tất cả	80.000 VNĐ	"Bạc: -5%
Vàng: -10%
Kim cương: -15%"	30 phút	Dịch vụ chăm sóc nhanh dành cho khách bận rộn.	Lau chân → Vệ sinh tai → Xịt khử mùi → Chải lông sơ bộ	Đang phục vụ
Spa & Grooming – Chăm sóc nhanh	SPA05	Cắt Móng & Vệ Sinh Tai	Chó / Mèo	Tất cả	60.000 VNĐ	"Bạc: -5%
Vàng: -10%
Kim cương: -15%"	20 phút	Hỗ trợ vệ sinh định kỳ giúp bé thoải mái hơn khi vận động.	Cắt móng → Mài móng → Vệ sinh tai → Kiểm tra sơ bộ	Đang phục vụ
Spa & Grooming – Chăm sóc nhanh	SPA06	Tắm Khô Khử Mùi	Chó / Mèo	Siêu nhỏ / Nhỏ	90.000 VNĐ	"Bạc: -5%
Vàng: -10%
Kim cương: -15%"	35 phút	Làm sạch nhanh không cần dùng nhiều nước.	Xịt foam khô → Massage làm sạch → Lau khăn → Chải lông	Đang phục vụ
Spa & Grooming – Tạo kiểu	SPA07	Grooming Tạo Kiểu Cơ Bản	Chó	Nhỏ / Vừa	350.000 VNĐ	"Bạc: -5%
Vàng: -10%
Kim cương: -15%"	150 phút	Cắt tỉa theo kiểu tiêu chuẩn phù hợp giống loài.	Tắm → Sấy → Cắt tạo kiểu → Chỉnh mặt → Cắt móng → Chụp ảnh hoàn thiện	Đang phục vụ
Spa & Grooming – Tạo kiểu	SPA08	Grooming Theo Yêu Cầu	Chó	Tất cả	450.000 VNĐ	"Bạc: -5%
Vàng: -10%
Kim cương: -15%"	180 phút	Thiết kế kiểu lông theo yêu cầu riêng của chủ nuôi.	Tư vấn style → Tắm → Sấy → Grooming chi tiết → Chụp ảnh trước/sau	Đang phục vụ
Spa & Grooming – Tạo kiểu	SPA09	Cat Grooming Chuyên Biệt	Mèo	Tất cả	380.000 VNĐ	"Bạc: -5%
Vàng: -10%
Kim cương: -15%"	120 phút	Grooming nhẹ nhàng dành riêng cho mèo nhạy cảm.	Chải rối → Tắm dịu nhẹ → Sấy chống stress → Tỉa lông → Vệ sinh tai	Đang phục vụ
Pet Hotel – Standard	HTL01	Phòng Standard	Chó / Mèo	Siêu nhỏ / Nhỏ	180.000 VNĐ / đêm	"Bạc: -5%
Vàng: -10%
Kim cương: -15%"	Theo ngày	Không gian lưu trú cơ bản sạch sẽ và an toàn cho bé.	Check-in → Chuẩn bị phòng → Cho ăn định kỳ → Dọn vệ sinh → Check-out	Đang phục vụ
