Phân loại	Mã sản phẩm (SKU)	Tên sản phẩm	Thương hiệu (Brand)	Danh mục (Category)	Giá bán lẻ	Giá sau tích điểm	Số lượng tồn kho (Inventory)	Cảnh báo tồn kho tối thiểu	Xuất xứ	Đánh giá (Rating)	Lượt đánh giá (Review Count)	Thành phần	Công dụng	Hướng dẫn sử dụng	Thuộc tính đặc biệt / Quy cách đóng gói	Nhãn sản phẩm	Hình ảnh	Trạng thái
Thực phẩm	TP-HAT-01	Thức ăn hạt cao cấp Royal Canin Mother & Babycat	Royal Canin	Thực phẩm	200.000	185.000	45	5	Pháp	4.9	128	"Protein gia cầm sấy khô, mỡ động vật, bột bắp, gạo, protein thực vật cô lập, protein động vật thủy phân, men, dầu cá, bột củ cải đường, xơ thực vật, dầu đậu nành, khoáng chất, fructo-oligo-saccharide (0.35%), men thủy phân (nguồn manno-oligo-saccharide), chiết xuất men (nguồn betaglucan), chiết xuất vạn thọ (nguồn lutein)."	"Cung cấp nguồn dinh dưỡng siêu cao cấp cho mèo mẹ mang thai/cho con bú và mèo con từ 1 đến 4 tháng tuổi. Giúp xây dựng hệ thống miễn dịch tự nhiên của mèo con nhờ phức hợp chất chống oxy hóa bao gồm Vitamin E, C, taurine và lutein. Hỗ trợ tối đa hệ tiêu hóa chưa trưởng thành với các protein dễ tiêu hóa (L.I.P.) và prebiotic."	"Cho ăn trực tiếp hoặc ngâm với nước ấm hoặc sữa chuyên dụng cho mèo con trong vòng 10-15 phút để hạt mềm ra trước khi cho ăn. Chia nhỏ khẩu phần thành 3-4 bữa/ngày dựa trên bảng định lượng in trên bao bì theo tuổi và cân nặng của bé. Luôn chuẩn bị sẵn nước sạch."	Túi 400g, hạt hình chữ thập siêu nhỏ, xốp dễ nhai, dành cho mèo mẹ và mèo con 1-4 tháng tuổi	Bán chạy	assets/images/products/tp-hat-01.webp	Còn hàng
Thực phẩm	TP-PATE-02	Pate lon hỗn hợp cá hồi và gà chín mềm King's Pet	King's Pet	Thực phẩm	45.000	39.000	120	10	Việt Nam	4.8	94	"Cá hồi tươi nguyên chất (30%), thịt ức gà không da (50%), gan gà tươi (10%), thạch agar nhập khẩu từ Nhật Bản (5%), nước sạch và phức hợp vitamin, khoáng chất thiết yếu (Vitamin A, D3, E, Canxi, kẽm, sắt) bảo đảm không chứa chất bảo quan nhân tạo."	"Bổ sung hàm lượng Omega 3, 6, DHA và EPA dồi dào từ cá hồi tươi giúp nuôi dưỡng nang lông từ sâu bên trong, mang lại bộ lông bóng mượt và giảm thiểu tình trạng rụng lông. Cung cấp độ ẩm tự nhiên lớn (>80%) giúp hỗ trợ chức năng hệ tiết niệu, hạn chế tối đa nguy cơ sỏi thận và các bệnh đường tiết niệu phổ biến ở chó mèo."	"Mở lon và cho ăn trực tiếp hoặc trộn chung với hạt khô để tăng vị giác. Đối với mèo trưởng thành (từ 1-7kg), sử dụng từ 1/4 đến 1 lon mỗi ngày tùy thể trạng. Sau khi mở nắp, bảo quản phần còn lại trong ngăn mát tủ lạnh và sử dụng hết trong vòng 3 ngày. Nên hâm ấm lại trước khi cho ăn."	Lon 400g dạng pate đóng hộp thiếc, hỗn hợp xay mịn, phù hợp cho cả chó và mèo mọi lứa tuổi	Khuyên dùng	assets/images/products/tp-pate-02.webp	Còn hàng
Thực phẩm	TP-SUP-03	Súp thưởng Ciao Churu vị cá ngừ thanh mát thanh mát	Inaba Ciao	Thực phẩm	55.000	49.000	3	5	Nhật Bản	4.7	256	"Cá ngừ đại dương tươi ngon (90%), bột cá ngừ, chiết xuất trà xanh kháng khuẩn, vitamin E bảo vệ tế bào, men vi sinh hỗ trợ đường ruột, taurine hỗ trợ thị lực và cơ tim, bột thạch agar."	"Dùng làm thức ăn nhẹ kích thích vị giác và tương tác kết nối giữa chủ nuôi và bé cưng. Chiết xuất trà xanh giúp làm giảm đáng kể mùi hôi khó chịu của chất thải và nước tiểu của mèo. Bổ sung nước nhanh chóng giúp ngăn ngừa các vấn đề sỏi tiết niệu do mèo lười uống nước."	"Xé gói súp thưởng và cho mèo liếm trực tiếp từ thanh súp, hoặc bóp trộn lên thức ăn chính (hạt, pate) để gia tăng độ hấp dẫn. Khẩu phần khuyến nghị: sử dụng 2-4 thanh/ngày làm bữa phụ. Không dùng thay thế hoàn toàn cho bữa ăn chính."	Gói 4 thanh x 14g (tổng 56g), dạng súp sệt vị cá ngừ đại dương thơm ngon dễ ăn	Mới	assets/images/products/tp-sup-03.webp	Còn hàng
Thực phẩm	TP-HAT-04	Thức ăn hạt Whiskas vị cá biển thơm ngon cho mèo lớn	Whiskas	Thực phẩm	130.000	119.000	0	5	Thái Lan	4.5	87	"Ngũ cốc lúa mì nguyên cám, protein động vật (thịt gia cầm, cá biển), dầu thực vật (dầu đậu nành, dầu cọ), chất xơ tự nhiên, khoáng chất thiết yếu (Canxi, Phospho, Kali, Natri), vitamin tổng hợp."	"Cung cấp nguồn năng lượng cân bằng hàng ngày cho mèo trưởng thành. Hàm lượng canxi và phospho tối ưu giúp xương và răng chắc khỏe. Bổ sung Omega 3 & 6 và kẽm giúp nuôi dưỡng làn da khỏe mạnh và duy trì bộ lông bóng mượt tự nhiên."	"Cho ăn trực tiếp, chia làm 2 bữa/ngày theo hướng dẫn trên bao bì. Luôn luôn để sẵn bát nước sạch bên cạnh. Tránh thay đổi thức ăn đột ngột, nên trộn dần hạt mới với hạt cũ trong vòng 7 ngày để hệ tiêu hóa của mèo thích nghi dần."	Túi 1.2kg, hạt khô nhiều màu sắc, vị cá biển nướng, dành cho mèo trưởng thành trên 12 tháng tuổi	Phổ biến	assets/images/products/tp-hat-04.webp	Hết hàng
Thực phẩm	TP-HAT-05	Thức ăn hạt không ngũ cốc Orijen Fit & Trim cho mèo	Orijen	Thực phẩm	350.000	325.000	22	3	Canada	4.9	94	"Thịt gà tươi (20%), thịt gà tây tươi (15%), gan gà tươi (10%), cá trích nguyên con tươi (5%), cá bơn nguyên con tươi, trứng tươi, chất xơ táo, bí ngô, cà rốt, tảo bẹ."	"Cung cấp hàm lượng protein siêu cao (44%) từ nguồn thịt động vật đa dạng giúp phát triển cơ bắp săn chắc và duy trì cân nặng lý tưởng, hạn chế béo phì ở mèo nuôi trong nhà. Công thức Grain-free không chứa ngũ cốc bảo vệ hệ tiêu hóa nhạy cảm."	"Cho ăn trực tiếp. Chia khẩu phần dựa trên hướng dẫn cân nặng trên bao bì. Luôn chuẩn bị sẵn nước uống sạch tinh khiết bên cạnh để mèo uống tự do."	Túi 1.8kg hạt sấy khô nguyên chất, giàu đạm động vật tự nhiên, thích hợp cho mèo mọi lứa tuổi	Cao cấp	assets/images/products/tp-hat-05.webp	Còn hàng
Thực phẩm	TP-HAT-06	Thức ăn hạt Taste of the Wild High Prairie cho chó	Taste of the Wild	Thực phẩm	280.000	260.000	15	4	Mỹ	4.8	76	"Thịt bò Bison nướng (15%), thịt nai nướng (15%), bột thịt gà, khoai lang, đậu bản, khoai tây, dầu hạt cải, bột cá biển, men bia, cà chua, quả việt quất, quả mâm xôi."	"Mang đến hương vị thịt nướng hoang dã thơm ngon kích thích vị giác của cún cưng. Cung cấp nguồn năng lượng dồi dào dễ tiêu hóa từ khoai lang và các loại đậu. Bổ sung hệ lợi khuẩn độc quyền giúp tăng cường hệ miễn dịch và tiêu hóa khỏe mạnh."	"Cho ăn trực tiếp, căn cứ vào mức độ hoạt động và cân nặng của chó để phân chia lượng thức ăn phù hợp theo bảng chỉ dẫn bao bì. Luôn để sẵn nguồn nước uống sạch."	Túi 2.0kg, dạng hạt giòn tan vị thịt bison và nai nướng hoang dã, thích hợp cho chó trưởng thành	Đề xuất	assets/images/products/tp-hat-06.webp	Còn hàng
Thực phẩm	TP-PATE-07	Pate tươi vị bò và rau củ dinh dưỡng PawPal Home-cooked	PawPal	Thực phẩm	65.000	59.000	50	10	Việt Nam	4.9	115	"Thịt thăn bò tươi (55%), bí đỏ (15%), cà rốt (10%), khoai tây (10%), nước hầm xương bò cô đặc (8%), vitamin tổng hợp và dầu dừa nguyên chất (2%)."	"Pate tươi được nấu chín chậm giữ nguyên dưỡng chất, cung cấp nguồn sắt, kẽm và protein chất lượng cao giúp cún miu tăng cân khỏe mạnh và bổ mắt nhờ tiền vitamin A từ bí đỏ và cà rốt."	"Trộn trực tiếp vào hạt hoặc cho ăn riêng như bữa chính. Đối với bé có hệ tiêu hóa nhạy cảm, nên hâm nóng ấm nhẹ bằng lò vi sóng trong 10-15 giây trước khi cho ăn. Bảo quản lạnh từ 0-4 độ C ngay sau khi nhận hàng."	Hộp nhựa PP 300g đóng kín bằng màng seal y tế, pate tươi dạng sệt xay nhỏ vừa phải dễ nhai	Bán chạy	assets/images/products/tp-pate-07.webp	Còn hàng
Thực phẩm	TP-PATE-08	Pate lon cho mèo Royal Canin Intense Beauty	Royal Canin	Thực phẩm	60.000	54.000	80	15	Pháp	4.8	142	"Thịt động vật và dẫn xuất từ thịt, cá và dẫn xuất từ cá (nguồn Omega 3 & 6), ngũ cốc, chiết xuất protein thực vật, khoáng chất thiết yếu, các loại đường khác nhau."	"Nuôi dưỡng và phục hồi làn da nhạy cảm của mèo, nuôi dưỡng nang lông giúp lông mọc dày và có độ bóng mượt vượt trội. Hỗ trợ hệ tiết niệu khỏe mạnh nhờ độ ẩm cao và duy trì cân nặng lý tưởng."	"Cho mèo ăn 1-2 lon/ngày chia làm các bữa. Có thể dùng làm thức ăn chính hoặc trộn lẫn với hạt khô Royal Canin để kích thích mèo ăn ngon miệng hơn."	Hộp thiếc 85g dạng lát mỏng ngập trong nước sốt thịt đậm đà, dành cho mèo trưởng thành dưỡng lông	Khuyên dùng	assets/images/products/tp-pate-08.webp	Còn hàng
Thực phẩm	TP-SUP-09	Súp thưởng Wanpy Happy 100 vị ức gà thơm ngon	Wanpy	Thực phẩm	40.000	35.000	90	20	Trung Quốc	4.6	168	"Thịt ức gà tươi (85%), tinh bột sắn, chiết xuất men bia, dầu cá hồi dưỡng lông, vitamin A, B2, B3, B5, D3, E, taurine cần thiết cho mắt mèo."	"Bổ sung nước hiệu quả cho mèo lười uống nước. Cung cấp protein dễ hấp thụ giúp mèo nhanh nhẹn, tinh anh. Bổ sung vitamin E chống oxy hóa tăng sức đề kháng tự nhiên."	"Cho ăn trực tiếp bằng cách bóp súp cho mèo liếm dần từ gói, hoặc trộn vào thức ăn chính để tăng hương vị ngọt thanh thơm ngon của ức gà."	Gói gồm 5 thanh x 15g dạng súp sệt mịn thơm, thích hợp làm bữa phụ tương tác vui đùa	Phổ biến	assets/images/products/tp-sup-09.webp	Còn hàng
Thực phẩm	TP-SUP-10	Dầu cá hồi Na-uy dưỡng lông ép lạnh hồi phục da	PawPal	Thực phẩm	185.000	169.000	35	5	Na Uy	4.9	98	"100% dầu cá hồi tự nhiên khai thác tại vùng biển sâu Na Uy, được ép lạnh tinh khiết để giữ nguyên vẹn hàm lượng acid béo thiết yếu EPA (8%) và DHA (10%)."	"Giảm viêm da dị ứng, giảm ngứa ngáy nổi mẩn, kích thích mọc lông dày mềm mượt, ngăn ngừa rụng lông rõ rệt sau 2-4 tuần sử dụng. Bổ sung dưỡng chất phát triển não bộ và thị lực."	"Trộn trực tiếp vào thức ăn hạt hoặc pate của chó mèo. Liều lượng sử dụng: Nhấn 1-2 lần vòi xịt (cho pet < 5kg), 3-4 lần (cho pet 5-15kg) hàng ngày."	Chai nhôm cao cấp 150ml vòi xịt tiện lợi chống oxy hóa dầu cá, bảo quản mát tránh ánh nắng	Mới	assets/images/products/tp-sup-10.webp	Còn hàng
